iter	Passed	Remaining
0	20	1998
1	32	1570
2	43	1391
3	50	1211
4	59	1126
5	67	1050
6	75	1007
7	83	965
8	95	962
9	105	947
10	116	944
11	134	983
12	155	1038
13	175	1076
14	184	1046
15	195	1025
16	205	1002
17	212	968
18	221	943
19	229	918
20	239	901
21	249	885
22	258	864
23	268	850
24	280	840
25	299	851
26	317	859
27	326	840
28	336	823
29	345	806
30	358	797
31	377	802
32	409	830
33	422	819
34	445	826
35	504	896
36	513	873
37	522	852
38	531	831
39	540	810
40	549	790
41	559	772
42	568	753
43	576	734
44	586	717
45	595	699
46	605	682
47	615	667
48	623	649
49	632	632
50	640	615
51	649	599
52	657	583
53	666	567
54	674	551
55	682	536
56	691	522
57	701	507
58	709	492
59	719	479
60	729	466
61	730	447
62	740	434
63	751	422
64	760	409
65	769	396
66	778	383
67	787	370
68	797	358
69	806	345
70	815	332
71	825	321
72	833	308
73	842	296
74	851	283
75	860	271
76	869	259
77	870	245
78	880	234
79	890	222
80	900	211
81	910	199
82	918	188
83	927	176
84	935	165
85	944	153
86	954	142
87	966	131
88	975	120
89	986	109
90	996	98
91	1005	87
92	1015	76
93	1024	65
94	1033	54
95	1041	43
96	1051	32
97	1061	21
98	1071	10
99	1084	0
